entry_date,entry_price,position,stop_loss,exit_date,exit_price,pnl,symbol,holding_days,return_pct
2024-01-08,815.5613403320312,10,774.7832733154296,2024-01-31,812.2869873046875,-32.7435302734375,JSWSTEEL.NS,23,-0.40148458067062076
2024-02-01,795.46875,10,755.6953125,2024-02-02,817.1488647460938,216.8011474609375,JSWSTEEL.NS,1,2.725451470732666
2024-02-28,792.392822265625,10,752.7731811523437,2024-02-29,793.8811645507812,14.8834228515625,JSWSTEEL.NS,1,0.18782884490305612
2024-03-13,786.7867431640625,10,747.4474060058593,2024-03-14,779.3450317382812,-74.4171142578125,JSWSTEEL.NS,1,-0.9458358939621189
2024-03-15,774.5823974609375,10,735.8532775878906,2024-03-18,798.1477661132812,235.6536865234375,JSWSTEEL.NS,3,3.042332065586626
2024-03-20,788.4735717773438,10,749.0498931884765,2024-03-21,806.0359497070312,175.623779296875,JSWSTEEL.NS,1,2.227389548402888
2024-05-09,828.0634155273438,10,786.6602447509765,2024-08-06,884.0,559.3658447265625,JSWSTEEL.NS,89,6.755108778357706
2024-10-22,963.6500244140625,10,915.4675231933593,2024-11-11,979.0,153.499755859375,JSWSTEEL.NS,20,1.5928994133810037
2024-11-13,935.9500122070312,10,889.1525115966797,2024-11-14,939.0499877929688,30.999755859375,JSWSTEEL.NS,1,0.33121166146764136
2024-11-21,944.1500244140625,10,896.9425231933593,2024-11-22,977.3499755859375,331.99951171875,JSWSTEEL.NS,1,3.5163851414904976
2024-12-18,946.8499755859375,10,True,2024-12-30,898.9500122070312,-478.9996337890625,JSWSTEEL.NS,12,-5.058875705125767
2024-12-30,898.9500122070312,10,854.0025115966796,2024-12-31,901.5,25.4998779296875,JSWSTEEL.NS,1,0.2836629132145202
2025-01-01,905.4500122070312,10,860.1775115966797,2025-01-02,912.5,70.4998779296875,JSWSTEEL.NS,1,0.778617007888092
2025-01-03,915.0499877929688,10,869.2974884033202,2025-01-06,900.9000244140625,-141.4996337890625,JSWSTEEL.NS,3,-1.546359605231501
2025-01-07,911.7999877929688,10,866.2099884033203,2025-01-08,902.2999877929688,-95.0,JSWSTEEL.NS,1,-1.041895166394436
2025-01-09,890.9500122070312,10,846.4025115966797,2025-01-10,900.0999755859375,91.4996337890625,JSWSTEEL.NS,1,1.0269895340413397
2025-01-13,883.75,10,839.5625,2025-01-14,906.0499877929688,222.9998779296875,JSWSTEEL.NS,1,2.523336666814003
2025-04-04,1005.75,10,True,2025-04-07,930.2999877929688,-754.5001220703125,JSWSTEEL.NS,3,-7.501865494111981
2025-04-07,930.2999877929688,10,883.7849884033203,2025-05-06,967.5,372.0001220703125,JSWSTEEL.NS,29,3.998711458148469
2025-05-07,966.0999755859375,10,917.7949768066405,2025-05-08,953.2000122070312,-128.9996337890625,JSWSTEEL.NS,1,-1.3352617435977525
2025-05-09,957.0,10,909.15,2025-05-12,1005.2000122070312,482.0001220703125,JSWSTEEL.NS,3,5.036573898331374
2025-06-03,973.7999877929688,10,925.1099884033202,2025-06-04,968.5499877929688,-52.5,JSWSTEEL.NS,1,-0.5391250837760492
2025-06-05,968.75,10,920.3125,2025-06-06,1004.9000244140625,361.500244140625,JSWSTEEL.NS,1,3.7316154233870966
